fecha,idsalaUsada,hora,IdpeliculaProyectada,"precio boleto",boletosVendios
01/01/2023,12,"02:00:00 p. m.",74,97.22,36
01/01/2023,5,"01:00:00 a. m.",88,87.99,185
01/01/2023,6,"02:00:00 a. m.",7,64.32,169
01/01/2023,12,"07:00:00 p. m.",68,104.18,15
01/01/2023,12,"02:00:00 a. m.",13,114.64,42
01/01/2023,5,"12:00:00 p. m.",94,137.07,71
01/01/2023,6,"08:00:00 p. m.",85,61.93,83
01/01/2023,4,"01:00:00 p. m.",51,104.65,96
01/01/2023,13,"07:00:00 p. m.",78,78.63,36
01/01/2023,4,"06:00:00 p. m.",86,51.51,20
01/01/2023,14,"08:00:00 a. m.",81,96.24,24
02/01/2023,8,"08:00:00 p. m.",93,35.33,11
02/01/2023,10,"10:00:00 a. m.",2,133.22,11
02/01/2023,6,"06:00:00 p. m.",29,88.97,72
02/01/2023,13,"06:00:00 p. m.",45,87.35,90
02/01/2023,8,"11:00:00 a. m.",64,126.4,12
03/01/2023,6,"09:00:00 a. m.",3,34.84,135
03/01/2023,15,"01:00:00 a. m.",59,105.48,66
03/01/2023,1,"12:00:00 a. m.",13,72.85,52
03/01/2023,13,"07:00:00 a. m.",6,31.19,112
03/01/2023,13,"09:00:00 p. m.",82,123.92,154
03/01/2023,14,"05:00:00 p. m.",66,110.32,47
03/01/2023,13,"09:00:00 a. m.",43,60.36,197
03/01/2023,9,"10:00:00 a. m.",43,50.61,21
03/01/2023,2,"05:00:00 p. m.",74,100.2,92
03/01/2023,1,"10:00:00 a. m.",75,118.6,138
03/01/2023,12,"01:00:00 a. m.",76,67.37,15
03/01/2023,5,"09:00:00 p. m.",1,40.32,4
03/01/2023,11,"06:00:00 p. m.",49,140.57,120
04/01/2023,8,"10:00:00 p. m.",28,121.7,9
04/01/2023,2,"12:00:00 p. m.",56,74.1,49
04/01/2023,14,"10:00:00 p. m.",84,83.17,11
04/01/2023,7,"02:00:00 p. m.",11,132.01,52
04/01/2023,5,"08:00:00 p. m.",86,116.25,74
04/01/2023,10,"04:00:00 p. m.",42,97.1,80
04/01/2023,14,"11:00:00 p. m.",78,35.86,50
04/01/2023,3,"08:00:00 p. m.",26,75.67,129
05/01/2023,12,"02:00:00 p. m.",40,71.94,2
05/01/2023,1,"04:00:00 p. m.",96,100.7,98
05/01/2023,14,"07:00:00 a. m.",12,109.98,40
05/01/2023,13,"01:00:00 a. m.",22,145.82,186
05/01/2023,10,"09:00:00 p. m.",89,33.85,12
05/01/2023,2,"05:00:00 a. m.",57,122.19,85
06/01/2023,2,"05:00:00 p. m.",58,54.82,38
06/01/2023,4,"04:00:00 a. m.",50,139.16,26
06/01/2023,15,"07:00:00 a. m.",8,55.93,21
06/01/2023,9,"03:00:00 p. m.",13,127.45,37
06/01/2023,15,"03:00:00 a. m.",4,116.84,52
06/01/2023,14,"10:00:00 p. m.",77,73.77,19
06/01/2023,4,"03:00:00 p. m.",69,138.85,20
06/01/2023,15,"09:00:00 a. m.",82,122.21,92
06/01/2023,12,"10:00:00 a. m.",29,34.91,27
07/01/2023,12,"07:00:00 a. m.",91,48.25,34
07/01/2023,2,"03:00:00 p. m.",55,96.78,22
07/01/2023,13,"04:00:00 p. m.",7,43.17,166
07/01/2023,1,"10:00:00 p. m.",86,53.24,137
07/01/2023,2,"05:00:00 p. m.",37,134.86,9
07/01/2023,9,"11:00:00 a. m.",66,111.32,55
07/01/2023,5,"08:00:00 a. m.",35,41.13,153
07/01/2023,5,"02:00:00 p. m.",9,111.16,40
07/01/2023,4,"06:00:00 a. m.",52,70.17,27
07/01/2023,4,"01:00:00 a. m.",37,129.28,30
07/01/2023,15,"10:00:00 p. m.",95,83.21,46
08/01/2023,3,"09:00:00 p. m.",100,90.95,48
08/01/2023,14,"01:00:00 p. m.",89,67.69,46
08/01/2023,8,"03:00:00 a. m.",100,81.02,20
08/01/2023,12,"10:00:00 p. m.",37,73.69,37
08/01/2023,5,"03:00:00 p. m.",10,141.12,165
08/01/2023,13,"09:00:00 p. m.",9,49.12,134
08/01/2023,2,"10:00:00 p. m.",9,50.8,12
09/01/2023,15,"11:00:00 p. m.",57,128.75,30
09/01/2023,5,"10:00:00 p. m.",44,101.52,153
09/01/2023,10,"06:00:00 p. m.",32,40.04,8
09/01/2023,7,"02:00:00 p. m.",99,108.74,197
09/01/2023,7,"08:00:00 a. m.",5,48.58,107
09/01/2023,14,"03:00:00 p. m.",52,114.16,5
10/01/2023,15,"09:00:00 p. m.",100,138.66,56
10/01/2023,4,"12:00:00 a. m.",18,45.86,23
10/01/2023,3,"04:00:00 p. m.",100,63.87,58
10/01/2023,7,"07:00:00 p. m.",74,53.72,43
10/01/2023,5,"11:00:00 p. m.",15,69.79,180
10/01/2023,1,"04:00:00 p. m.",32,76.38,156
10/01/2023,11,"05:00:00 p. m.",52,96.78,140
10/01/2023,8,"06:00:00 a. m.",53,97.47,26
11/01/2023,6,"03:00:00 p. m.",35,39.79,26
11/01/2023,9,"04:00:00 a. m.",2,85.59,25
11/01/2023,15,"01:00:00 a. m.",45,68.35,23
11/01/2023,15,"02:00:00 p. m.",25,138.12,96
11/01/2023,2,"02:00:00 a. m.",23,123.19,89
11/01/2023,15,"01:00:00 a. m.",74,138.69,99
11/01/2023,11,"01:00:00 p. m.",44,50.01,125
11/01/2023,10,"03:00:00 p. m.",14,42.35,30
11/01/2023,4,"04:00:00 a. m.",87,57.02,17
11/01/2023,12,"06:00:00 a. m.",99,40.85,23
11/01/2023,9,"12:00:00 p. m.",93,129.02,66
11/01/2023,13,"11:00:00 a. m.",5,43.79,127
11/01/2023,4,"04:00:00 a. m.",58,63.65,1
11/01/2023,3,"08:00:00 p. m.",62,75.02,132
11/01/2023,1,"05:00:00 a. m.",75,48.14,115
12/01/2023,1,"05:00:00 a. m.",2,70.12,118
12/01/2023,13,"06:00:00 p. m.",35,111.59,114
12/01/2023,4,"03:00:00 a. m.",60,40.43,61
12/01/2023,4,"09:00:00 a. m.",24,68.43,34
12/01/2023,4,"09:00:00 p. m.",100,56.8,47
12/01/2023,14,"10:00:00 p. m.",12,113.87,38
12/01/2023,4,"01:00:00 p. m.",29,135.87,44
12/01/2023,14,"09:00:00 a. m.",2,88.8,7
12/01/2023,6,"05:00:00 a. m.",10,86.86,107
12/01/2023,15,"09:00:00 a. m.",96,94.21,56
